id,type,price,pricerate,weight,quality,pricevalue
1,421,100,5,1,28,1
2,421,140,5,1,30,1
3,421,180,5,1,32,1
4,421,220,5,1,34,1
5,421,280,5,1,36,1
6,421,350,5,1,38,1
7,421,460,5,2,40,1
8,421,600,5,2,42,1
9,421,750,5,2,44,1
10,421,970,5,3,46,1
11,422,1100,5,1,28,1
12,422,1160,5,2,30,1
13,422,1280,5,2,32,1
14,422,1430,5,2,34,1
15,422,1770,5,2,36,1
16,422,2180,5,2,38,1
17,422,2680,5,3,40,1
18,422,2720,5,3,42,1
19,422,3450,5,4,44,1
20,422,4450,5,5,46,1
21,423,70,10,1,28,2
22,423,100,10,1,30,2
23,423,120,10,1,32,2
24,423,150,10,1,34,2
25,423,190,5,2,36,2
26,423,230,5,2,38,2
27,423,305,5,2,40,2
28,423,395,5,2,42,2
29,423,500,5,3,44,2
30,423,645,5,4,46,2
31,424,70,10,1,28,3
32,424,100,10,1,30,3
33,424,120,10,1,32,3
34,424,150,10,2,34,3
35,424,190,10,2,36,3
36,424,230,10,2,38,3
37,424,310,10,2,40,3
38,424,400,10,3,42,3
39,424,500,10,3,44,3
40,424,645,10,4,46,3
41,425,120,10,1,28,4
42,425,150,10,1,30,4
43,425,200,10,1,32,4
44,425,250,10,2,34,4
45,425,310,10,2,36,4
46,425,380,10,2,38,4
47,425,500,10,3,40,4
48,425,650,10,3,42,4
49,425,820,10,1,44,4
50,425,1050,10,2,46,4
51,426,80,10,2,28,5
52,426,110,10,1,30,5
53,426,140,10,1,32,5
54,426,170,10,1,34,5
55,426,210,10,1,36,5
56,426,260,10,2,38,5
57,426,350,10,2,40,5
58,426,450,10,2,42,5
59,426,570,10,1,44,5
60,426,730,10,1,46,5
61,428,130,10,1,25,6
62,428,156,10,2,26,6
63,428,187,10,1,27,6
64,428,225,10,2,28,6
65,428,270,10,2,29,6
66,428,323,10,2,30,6
67,428,388,10,1,31,6
68,428,466,10,1,32,6
69,428,559,10,2,33,6
70,428,671,10,2,34,6
71,427,1000,0,5,15,7
72,427,2800,0,5,18,7
73,427,3829,0,5,21,7
74,427,4808,0,5,24,7
75,427,5741,0,5,27,7
76,427,6651,0,5,30,7
77,427,7539,0,5,33,7
