id,life,walkspeed,runspeed,drivespeed,weapon,subweapon,level,hp,attackpower,hitrate,defense,magicdefense,dodge,attackspeed,AI,exp,dropid,money,item,tab1,tab2,tab3,specialtab,attackdistance,aggresive,shp
0,0,1,1,100,0,0,1,1,1,1,1,1,1,1,101,0,100,0,60,0,0,0,0,300,1,0
1,0,160,370,56,0,0,1,126,8,25,72,47,1,100,101,26,100,0,60,0,0,0,0,190,1,0
2,0,170,390,75,0,0,2,72,9,28,77,49,3,100,102,38,101,0,60,0,0,0,0,210,1,0
3,0,175,400,95,0,0,4,46,12,34,86,53,7,100,103,56,104,0,60,0,0,0,0,220,1,0
4,0,220,490,85,161,0,3,60,13,36,114,75,6,107,104,50,102,0,60,0,0,0,0,200,4,0
5,0,200,450,75,0,0,5,47,14,43,122,77,8,105,104,68,105,0,60,0,0,0,0,250,3,0
6,0,300,700,50,0,0,1,126,8,25,72,47,1,100,91,0,100,0,60,0,0,0,0,150,1,0
7,0,300,700,50,0,0,1,126,8,25,72,47,1,100,91,0,100,0,60,0,0,0,0,150,1,0
8,0,110,150,130,0,0,1,126,8,25,72,47,1,100,91,0,100,0,60,0,0,0,0,150,1,280
9,0,120,160,135,0,0,1,126,8,25,72,47,1,100,91,0,100,0,60,0,0,0,0,155,1,280
10,0,130,160,140,0,0,2,72,9,28,77,49,3,100,91,38,100,0,60,0,0,0,0,160,1,280
11,0,160,242,35,0,0,3,54,10,31,81,51,5,100,3,47,103,0,60,0,0,0,0,180,1,0
12,0,175,260,40,0,0,5,41,12,37,91,55,6,100,3,65,106,0,60,0,0,0,0,200,1,0
13,0,180,266,50,0,0,6,56,13,44,141,89,7,95,2,79,107,0,60,0,0,0,0,220,2,0
15,0,180,266,55,0,0,10,47,23,58,169,102,10,95,2,123,114,0,60,0,0,0,0,230,2,0
21,0,200,260,50,0,0,8,33,19,47,105,62,10,100,3,95,112,0,60,0,0,0,0,230,1,0
22,0,200,260,60,0,0,9,48,27,55,162,98,12,95,2,111,115,0,60,0,0,0,0,230,2,0
23,0,230,400,110,0,0,12,35,37,68,166,97,14,105,21,146,121,0,60,0,0,0,0,250,3,0
24,0,200,260,120,0,0,18,584,99,162,102,255,20,110,80,1914,130,0,60,0,0,0,0,250,11,0
31,0,200,290,90,1071,0,21,29,49,86,168,89,20,100,22,305,152,0,60,0,0,0,0,1600,1,0
32,0,250,400,90,1071,0,22,32,74,139,173,98,24,90,26,339,156,0,60,0,0,0,0,1800,5,0
33,0,220,314,95,1071,0,23,35,77,139,177,100,26,97,27,370,160,0,60,0,0,0,0,1800,6,0
34,0,240,338,140,1071,0,23,36,74,162,272,150,25,110,28,387,161,0,60,0,0,0,0,2000,8,0
41,0,0,0,95,1072,0,6,37,15,40,96,57,8,100,15,74,108,0,60,0,0,0,0,1750,1,0
42,0,0,0,115,1072,0,7,39,26,67,101,64,9,105,15,88,109,0,60,0,0,0,0,1750,5,0
43,0,0,0,100,1073,0,16,32,50,110,144,84,10,105,15,204,134,0,60,0,0,0,0,2400,5,0
44,0,0,0,120,1073,0,18,32,54,89,215,121,11,107,17,254,142,0,60,0,0,0,0,2500,4,0
45,0,0,0,200,1073,0,19,36,61,140,243,137,12,110,18,287,146,0,60,0,0,0,0,2600,8,0
46,0,0,0,0,0,0,40,46,115,159,380,198,13,95,0,866,0,0,0,0,0,0,0,1200,2,0
51,0,220,314,100,1074,0,44,31,123,157,278,137,70,100,22,953,230,0,60,0,0,0,0,1800,1,180
52,0,230,326,135,1074,0,45,35,155,248,283,149,75,105,21,1016,232,0,60,0,0,0,0,1250,5,300
53,0,240,338,135,1075,0,48,35,168,262,297,156,80,105,21,1121,234,0,60,0,0,0,0,1300,5,300
61,0,200,350,62,0,0,10,31,23,53,115,66,14,100,3,117,116,0,60,0,0,0,0,200,1,350
62,0,220,440,70,0,0,11,31,25,56,120,68,16,100,3,128,118,0,60,0,0,0,0,210,1,350
63,0,240,400,70,0,0,14,34,42,75,179,103,20,105,1,172,131,0,60,0,0,0,0,230,3,350
64,0,260,370,80,0,0,18,32,54,89,215,121,22,107,9,254,143,0,60,0,0,0,0,250,4,350
67,0,240,320,90,1061,0,31,44,112,205,317,194,55,110,29,670,188,0,60,0,0,0,0,800,9,460
68,0,240,350,130,1061,0,35,94,134,252,455,245,60,110,44,1345,191,0,60,0,0,0,0,900,10,510
69,0,300,450,170,333,0,38,619,223,291,499,383,55,110,53,23232,193,0,100,0,0,0,0,1500,11,660
71,0,140,400,80,1011,0,11,31,25,56,120,68,15,100,3,128,119,0,60,0,0,0,0,200,1,0
72,0,140,420,88,1011,0,12,30,27,59,125,70,16,100,3,140,122,0,60,0,0,0,0,220,1,0
73,0,170,500,90,1012,0,17,33,50,85,198,111,17,105,1,228,138,0,60,0,0,0,0,230,3,0
74,0,160,420,102,1031,0,20,43,53,92,239,134,18,95,2,297,149,0,60,0,0,0,0,300,2,0
75,0,160,380,102,1032,0,19,33,56,92,211,117,19,105,1,272,147,0,60,0,0,0,0,320,3,0
76,0,230,550,245,1014,0,31,599,176,246,576,338,25,110,82,12458,173,0,100,0,0,0,0,350,11,0
81,0,150,420,80,0,0,23,29,54,93,177,93,25,100,3,352,162,0,60,0,0,0,0,180,1,0
82,0,145,350,100,0,0,24,33,71,110,243,132,26,105,1,391,165,0,60,0,0,0,0,200,3,0
84,0,160,370,80,0,0,27,29,66,105,197,101,20,100,3,451,177,0,60,0,0,0,0,200,1,0
85,0,180,470,100,0,0,29,44,79,122,303,162,21,95,2,529,183,0,60,0,0,0,0,220,2,0
87,0,130,400,80,0,0,30,29,85,114,253,132,27,110,22,531,185,0,60,0,0,0,0,200,4,0
88,0,130,320,100,0,0,31,34,77,135,288,152,22,95,105,581,189,0,60,0,0,0,0,230,2,0
91,0,130,400,110,1011,0,24,29,57,96,182,95,25,100,106,376,166,0,60,0,0,0,0,230,1,0
92,0,180,520,125,1014,0,26,32,79,117,269,145,26,107,23,452,174,0,60,0,0,0,0,250,4,0
93,0,145,600,145,1007,302,28,34,84,124,269,143,27,105,1,497,180,0,60,0,0,0,0,260,3,0
94,0,140,330,125,1014,0,25,32,75,113,262,142,26,107,23,425,168,0,60,0,0,0,0,260,4,0
95,0,130,400,90,0,0,18,500,1,1,0,999,999,100,306,239,142,0,60,0,0,0,0,230,1,0
96,0,160,400,100,1056,0,26,35,87,153,192,107,27,97,27,447,175,0,60,0,0,0,0,2000,6,0
97,0,180,520,98,0,0,18,500,1,1,0,999,999,107,306,254,143,0,60,0,0,0,0,250,4,0
98,0,145,370,100,0,0,18,33,53,89,205,114,40,105,306,249,144,0,60,0,0,0,0,260,3,0
99,0,160,400,96,0,0,18,35,60,116,153,89,45,97,306,252,146,0,60,0,0,0,0,300,6,0
101,0,150,350,80,1003,0,16,29,36,71,144,78,30,100,22,198,135,0,60,0,0,0,0,250,1,0
102,0,190,480,110,1080,0,17,32,58,115,149,87,31,90,26,225,139,0,60,0,0,0,0,2000,5,0
103,0,170,500,120,1003,302,18,36,58,135,235,133,32,110,24,264,144,0,60,0,0,0,0,260,8,0
110,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0
111,0,180,520,95,0,0,37,30,98,135,245,122,40,100,22,732,206,0,60,0,0,0,0,220,1,0
112,0,200,460,105,0,0,38,46,111,152,366,191,45,90,22,801,209,0,60,0,0,0,0,230,2,0
113,0,200,450,110,1016,0,39,34,126,163,356,185,45,105,107,841,212,0,60,0,0,0,0,250,4,0
114,0,200,500,150,1016,0,40,46,158,253,380,227,50,100,25,989,215,0,60,0,0,0,0,260,9,0
121,0,220,700,120,0,0,73,41,283,283,557,273,150,95,21,2985,281,0,60,0,0,0,0,230,3,0
122,0,200,700,150,0,0,74,40,268,286,591,291,155,115,115,3128,286,0,60,0,0,0,0,240,4,0
123,0,240,700,200,0,0,77,55,353,452,641,363,160,105,114,3839,301,0,60,0,0,0,0,250,9,0
127,0,200,450,145,0,0,68,39,227,265,551,273,160,125,263,2619,155,0,60,0,0,0,0,240,4,0
128,0,230,510,145,1044,0,70,43,277,355,403,205,200,105,264,2760,175,0,60,0,0,0,0,2000,6,0
129,0,240,530,160,0,0,74,54,309,436,619,352,160,120,263,3542,156,0,60,0,0,0,0,250,9,0
130,0,220,530,180,137,5,76,55,312,446,634,360,150,125,262,3739,177,0,60,0,0,0,0,300,9,0
131,0,180,500,90,0,0,30,29,73,114,211,107,60,105,3,531,186,0,60,0,0,0,0,180,1,0
132,0,180,480,105,0,0,33,34,106,142,301,158,70,95,1,639,194,0,60,0,0,0,0,200,3,0
133,0,185,420,140,0,0,35,33,102,149,329,172,75,120,9,713,197,0,60,0,0,0,0,210,4,0
134,0,190,500,110,133,0,37,46,107,149,359,188,76,90,22,769,207,0,60,0,0,0,0,300,2,0
135,0,180,460,155,134,0,38,35,119,159,333,172,80,105,22,793,210,0,60,0,0,0,0,300,3,0
136,0,180,450,140,1021,0,39,34,116,163,356,185,85,120,24,841,213,0,60,0,0,0,0,300,4,0
137,0,180,500,2,0,0,30,29,75,114,211,107,93,100,0,531,0,0,0,0,0,0,0,300,1,0
138,0,230,520,170,135,0,41,47,163,259,387,231,90,100,114,1027,218,0,60,0,0,0,0,300,9,0
139,0,230,520,170,135,0,41,47,163,259,387,231,95,100,114,1027,218,0,60,0,0,0,0,300,9,0
141,0,220,540,180,104,0,74,42,281,286,563,276,150,100,1,3069,287,0,60,0,0,0,0,250,3,0
142,0,240,600,180,106,5,78,55,274,287,648,319,143,90,116,3447,452,0,60,0,0,0,0,260,2,0
143,0,220,480,200,167,0,81,41,302,311,638,312,163,115,109,3750,315,0,60,0,0,0,0,280,4,0
144,0,220,550,220,1045,0,76,40,303,395,432,219,208,105,11,3210,297,0,60,0,0,0,0,2400,5,0
145,0,210,470,260,1044,0,80,45,365,401,451,228,203,85,12,3625,313,0,60,0,0,0,0,2000,6,0
