id,clothtype,type,price,pricerate,weight,quality,level,material,occupation,condition1,condition2,stat1,stat2,defense,magicresistence,atkdistmvsped,attackpower,attackspeed,itemgrade
1,1,111,850,10,1,30,1,53,0|0|0,0|0,0|0,38|500,0|0,0,0,0,0,0,0
2,1,111,950,10,1,33,2,54,0|0|0,0|0,0|0,11|15,22|30,0,0,0,0,0,0
3,1,111,1000,10,2,35,3,49,0|0|0,0|0,0|0,23|30,0|0,0,0,0,0,0,0
4,1,111,1100,10,1,38,3,50,0|0|0,0|0,0|0,24|16,0|0,0,0,0,0,0,0
5,1,111,1100,10,1,40,4,51,0|0|0,0|0,0|0,24|16,0|0,0,0,0,0,0,0
6,1,111,1250,10,2,43,4,52,0|0|0,0|0,0|0,26|30,0|0,0,0,0,0,0,0
7,1,111,1350,10,3,45,5,57,0|0|0,0|0,0|0,20|20,0|0,0,0,0,0,0,0
8,1,111,1400,10,10,48,6,58,0|0|0,0|0,0|0,19|100,0|0,0,0,0,0,0,0
9,1,111,1550,10,5,50,7,55,0|0|0,0|0,0|0,21|100,0|0,0,0,0,0,0,0
10,1,111,1550,10,7,55,7,0,0|0|0,0|0,0|0,14|10,0|0,0,0,0,0,0,0
11,1,111,1700,10,5,55,8,56,0|0|0,0|0,0|0,10|15,13|15,0,0,0,0,0,0
12,1,111,1850,0,0,65,8,0,0|0|0,0|0,0|0,14|12,0|0,0,0,0,0,0,0
13,1,111,1850,10,2,60,9,59,0|0|0,31|70,0|0,23|40,22|60,0,0,0,0,0,0
14,1,111,2050,0,0,65,9,0,0|0|0,0|0,0|0,14|13,0|0,0,0,0,0,0,0
15,1,111,2100,0,0,65,9,0,0|0|0,0|0,0|0,14|13,0|0,0,0,0,0,0,0
16,1,111,2250,0,0,65,9,0,0|0|0,0|0,0|0,14|14,0|0,0,0,0,0,0,0
17,1,111,2400,0,0,65,17,0,0|0|0,0|0,0|0,14|15,0|0,0,0,0,0,0,0
18,1,111,2450,0,3,65,0,0,0|0|0,31|50,0|0,11|15,22|30,0,0,0,0,0,0
19,1,111,2600,0,3,65,0,0,0|0|0,31|50,0|0,14|40,0|0,0,0,0,0,0,0
20,1,111,2650,0,3,65,0,0,0|0|0,31|50,0|0,12|15,21|30,0,0,0,0,0,0
21,1,111,2850,0,3,65,0,0,0|0|0,31|50,0|0,15|15,23|30,0,0,0,0,0,0
